Rule,Criteria,Apply Facts,Trigger Functions,Trigger Rules,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Options,Text
SA_01StarRingContinue,"concept: optionSelected, option: SA_01StarRingContinue",,addValueWithFlair: 10000,,,,,,Leave:SAHardLeave,"Upon further analysis, you are presented with several sets of information. All of the data depicts the same 'anomaly': a set of eight identical stars equidistant in a circular orbit around another identical star. ""Humans will never go there,"" Rui decides after gazing at the details for a few moments, ""the chances with Arata's theorem are too low, and it's too far away for conventional travel. Besides, we are all too horrified of the forces at play above our own heads."" You have the data stored."
,,,,,,,,,,
SA_02NavBuoy,"concept: SA_PortalResponse, player_in_CORE_or_FRONTIER_region: true",,openDialog: null,SAApproachMessage,,,,,"Investigate: SA_02NavBuoyContinue, Leave: SASoftLeave","A navigation buoy is detected. These small spherical devices are dropped by passing starships to communicate danger or simply as a tradition. Powered by the prolonged half life of specific radioactive isotopes, they can blare waves of information into space for thousands of years."
SA_02NavBuoyContinue,"concept: optionSelected, option: SA_02NavBuoyContinue",,getNavBuoyOutcomeWithFlair: $seed,,,,,,Leave:SAHardLeave,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
# special anomalies and special systems,,,,,,,,,,
SpA_SentientAsteroidTheorised,"concept: theorisedBody, type: CUSTOM, custom_tag: SpA_SentientAsteroid",,openDialog: null,,,,,,Go to flank speed: defaultLeave,"(UNFINISHED EVENT) Called over by staff on bridge as a contact confirmed (theorised) in the last scan is moving via some kind of propulsion system, despite being an asteroid. Decide to chase it down. Message should be written so the player assumes that they have to FOLLOW the contact, rather than orbit it. ""We need to get very close"""
SpA_SentientAsteroidFollowing,"concept: followingBody, type: CUSTOM, custom_tag: SpA_SentientAsteroid, custom_available: true",,openDialog: null,,populateSpA_SentientAsteroidOptions,,,,"Collect telemetry data from afar: SpA_SentientAsteroidDefaultExpedition, Leave: defaultSoftLeave","(UNFINISHED EVENT) Get close to the asteroid. Deliberate as to whether to let it be or to send someone sufficienciently qualified (if available) over to get a sample. ""If someone sufficiently qualified was on the ship..."""
SpA_SentientAsteroidFebrisExpeditionOption,"concept: populateSpA_SentientAsteroidOptions, player_MEDICAL_OFFICER_alive: true",,,,,,,,Order Febris to lead an expedition - we need a surface sample: SpA_SentientAsteroidFebrisExpedition,
SpA_SentientAsteroidFebrisExpedition,"concept: optionSelected, option: SpA_SentientAsteroidFebrisExpedition",,,,,,SpA_SentientAsteroidFebrisExpeditionDispatchResponse,,,
SpA_SentientAsteroidFebrisExpeditionResponseSuccess,concept: SpA_SentientAsteroidFebrisExpeditionDispatchResponse,,addValueWithFlair: 25000,,,,,,Leave: defaultHardLeave,(UNFINISHED EVENT) Febris successfully extracts a sample from the asteroid. You order a recall.
SpA_SentientAsteroidFebrisExpeditionResponseFailure,concept: SpA_SentientAsteroidFebrisExpeditionDispatchResponse,,"addValueWithFlair: 5000, killCharacterWithFlair: MEDICAL_OFFICER",,,,,,Leave: defaultHardLeave,(UNFINISHED EVENT) Febris dies. You order a recall.
SpA_SentientAsteroidDefaultExpedition,"concept: optionSelected, option: SpA_SentientAsteroidDefaultExpedition",,addValueWithFlair: 2500,,,,,,Leave: defaultHardLeave,(UNFINISHED EVENT) default expedition
,,,,,,,,,,
enteringSystemMessage,concept: enteringSystemMessage,,,,,,,,,Your ship enters the system.
enteringSystemCivilized,"concept: enteringSystem, system_civilized: true",,categoryClear: clearEnterCivilizedSystem,,,,,,,
enteringSystemVoid,"concept: enteringSystem, special_system_classification: VOID",,openDialog: null,enteringSystemMessage,,,,,Proceed cautiously: defaultLeave,"As transit is completed, you are flagged by the senior LIDAR technician. He explains that the display is ‘suspiciously clear’ - there are no asteroids, no dust, no particles, no cosmic whirlwinds of material floating through the empty within the new star system. Matter is ejected from its host star normally, yet the residue produced suggests that the star did not exist a mere five minutes prior. The host star, and its three wormholes, stand as survivors to some great voiding, or newborns to some great creation."
enteringSystemCME,"concept: enteringSystem, system_hazard_classification: CORONAL_MASS_EJECTION, enteringSystemCME_PREV: false",enteringSystemCME_PREV: true,openDialog: null,enteringSystemMessage,,,,,Proceed hastily: defaultLeave,"A post-transit checklist reveals that the primary star in-system is highly unstable. Closer observation depicts the telltale signs of an upcoming coronal mass ejection: a localized decrease in high-energy EM emissions, the presence of eruptive prominences and an uptick in solar flares. As EUV wave outflow begins to rise, navigation gets to work calculating the time permitted before the next ejection - you resign yourself to the fact that your ship will suffer damage to its electrical grid if not elsewhere by the initial acceleration."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
# tutorials,,,,,,,,,,
tutorialPlayerStart,concept: tutorialPlayerStart,"tutorialPreludeOrbitingPREV: false, tutorialIngressOrbitingPREV: false","_TUTORIALSetIngressOverride: true, _TUTORIALSetOmissionOverride: true, categoryActive: tutorialPrePreludeTheorise",,,,,,,
,,,,,,,,,,
tutorialPreludeTheorised,"concept: theorisedBody, type: PLANET, name: Prelude, tutorial: true",,"objectiveSuccess: tutorialMarkPrelude, categoryActive: tutorialPrePreludeOrbit",,,,,,,
,,,,,,,,,,
tutorialPreludeOrbitingPortal,"concept: orbitingBody, type: PLANET, name: Prelude, tutorial: true",,,,,tutorialPreludeOrbitingPortalResponse,,,,
tutorialPreludeOrbiting,concept: tutorialPreludeOrbitingPortalResponse,tutorialPreludeOrbitingPREV: true,"objectiveSuccess: tutorialDiscoverPrelude, categoryActive: tutorialPrePreludeFollow",,,,,,,
tutorialPreludeOrbitingCancel,"concept: tutorialPreludeOrbitingPortalResponse, tutorialPreludeOrbitingPREV: true",,,,,,,,,
,,,,,,,,,,
tutorialPreludeFollowingPortal,"concept: followingBody, type: PLANET, name: Prelude, tutorial: true, planetary_anomaly: true, planetary_anomaly_available: true",,,,,tutorialPreludeFollowingPortalResponse,,,,
tutorialPreludeFollowing,concept: tutorialPreludeFollowingPortalResponse,tutorialPreludeFollowingPREV: true,"openDialog: null, _TUTORIALSetIngressOverride: false, objectiveSuccess: tutorialFollowPrelude, categoryActive: tutorialPreIngressTheorise",defaultApproachMessage,,,,,Continue:tutorialPreludeFollowingContinueA,An inconsistent LIDAR return is marked on its surface.
tutorialPreludeFollowingContinueA,"concept: optionSelected, option:tutorialPreludeFollowingContinueA",,addValueWithFlair: 5000,,,,,,Exit:PAHardLeave,"Upon further analysis and several additional pings, it becomes clear that the inconsistent return was merely a false echo. The higher resolution scan data will yield marginal value."
tutorialPreludeFollowingPlotCancel,"concept: tutorialPreludeFollowingPortalResponse, tutorialPreludeOrbitingPREV: false",,openDialog: null,defaultApproachMessage,,,,,Apologise and enter orbit:defaultLeave,"The helmsman on duty requests an orbital trajectory, citing the dangers of getting 'so close' before preliminary scans have been made. "
,,,,,,,,,,
tutorialIngressTheorised,"concept: theorisedBody, type: WORMHOLE, name: Ingress, tutorial: true",,"_TUTORIALSetOmissionOverride: false, objectiveSuccess: tutorialMarkIngress, categoryActive: tutorialPreIngressOrbit",,,,,,,
,,,,,,,,,,
tutorialIngressOrbitingPortal,"concept: orbitingBody, type: WORMHOLE, name: Ingress, tutorial: true",,,,,tutorialIngressOrbitingPortalResponse,,,,
tutorialIngressOrbiting,concept: tutorialIngressOrbitingPortalResponse,tutorialIngressOrbitingPREV: true,"objectiveSuccess: tutorialDiscoverIngress, categoryActive: tutorialPreIngressFollow",,,,,,,
tutorialIngressOrbitingCancel,"concept: tutorialIngressOrbitingPortalResponse, tutorialIngressOrbitingPREV: true",,,,,,,,,
,,,,,,,,,,
tutorialIngressFollowingPortal,"concept: followingBody, type: WORMHOLE, name: Ingress, tutorial: true",,,,,tutorialIngressFollowingPortalResponse,,,,
tutorialIngressFollowing,concept: tutorialIngressFollowingPortalResponse,tutorialIngressFollowingPREV: true,"openDialog: null, objectiveSuccess: tutorialFollowIngress",defaultApproachMessage,,,,,Enter the Wormhole:tutorialPlayerWin,"The wormhole glows a dull purple; its surface depicts the space around another star. Anti-protons are ejected in thin flux ropes, but no sooner snatched back into the distortion. Instruments go haywire as your starship approaches."
tutorialIngressFollowingCancel,"concept: tutorialIngressFollowingPortalResponse, tutorialIngressFollowingPREV: true",,,,,,,,,
tutorialIngressFollowingPlotCancel,"concept: tutorialIngressFollowingPortalResponse, tutorialIngressOrbitingPREV: false",,openDialog: null,defaultApproachMessage,,,,,Apologise and enter orbit:defaultLeave,"The helmsman on duty looks exasperated. ""Captain, I apologise,"" he begins, ""but I was under the impression that we would first enter orbit."" He pauses to steady himself. ""We have not completed all of the calculations - if we enter the wormhole now, the ship will get torn apart."""
,,,,,,,,,,
tutorialOmissionTheorisedCancel,"concept: theorisedBody, type: PLANET, name: Omission, tutorial: true",,,,,,,,,
tutorialOmissionOrbitingPortal,"concept: orbitingBody, type: PLANET, name: Omission, tutorial: true",,,,,tutorialOmissionOrbitingPortalResponse,,,,
tutorialOmissionOrbiting,concept: tutorialOmissionOrbitingPortalResponse,tutorialOmissionOrbitingPREV: true,,,,,,,,
tutorialOmissionOrbitingCancel,"concept: tutorialOmissionOrbitingPortalResponse, tutorialOmissionOrbitingPREV: true",,,,,,,,,
,,,,,,,,,,
tutorialPlayerWin,"concept: optionSelected, option: tutorialPlayerWin",,"closeDialog: null, _TUTORIALPlayerWin: null",,,,,,,
,,,,,,,,,,
tutorialAnteMessageApproach,concept: tutorialAnteMessageApproach,,,,,,,,,Base description of Ante.
tutorialAntePortal,"concept: followingBody, type: PLANET, name: Ante, tutorial: true",tutorialAntePortal_PREV: true,"openDialog: null, playMusic: ante.wav",tutorialAnteMessageApproach,,tutorialAntePortalDispatch,,,,
tutorialAnteResponseValid,"concept: tutorialAntePortalDispatch, tutorialAntePortal_PREV: false",,,,,,,,Lead an away team: tutorialAnteTrip,Description of the Capital and the ecology of Ante.
tutorialAnteResponseInvalid,"concept: tutorialAntePortalDispatch, tutorialAntePortal_PREV: true",,,,,,,,Leave:defaultLeave,
#ante exploration council walk,,,,,,,,,,
tutorialAnteTrip,"concept: optionSelected, option: tutorialAnteTrip",,stopMusic: null,,,,,,Exit the transport: tutorialAnteCouncilWalkA,"Transport landing. Duty officer yells for everyone to get out, and to make way for the 'seniors'."
tutorialAnteCouncilWalkA,"concept: optionSelected, option: tutorialAnteCouncilWalkA",,,,,,,,Walk: tutorialAnteCouncilWalkB,"Planet surface shock. >>> ""Its been a while,"" you say. Rui nods and checks his footing."
tutorialAnteCouncilWalkB,"concept: optionSelected, option: tutorialAnteCouncilWalkB",,,,,,,,Walk: tutorialAnteCouncilWalkC,"Description of the trip from the spaceport to the city centre near the Provisional Executive headquarters - also describe the headquarters itself. >>> ""...You find yourself..."""
tutorialAnteCouncilWalkC,"concept: optionSelected, option: tutorialAnteCouncilWalkC",,,,,,,,"Sign it: tutorialAnteCouncilWalkD, Don't sign it: tutorialAnteCouncilWalkD",Pass a protest and are asked to sign a petition to make small manufactured goods free by a 'young civilian girl'. Use player prefix.
tutorialAnteCouncilWalkD,"concept: optionSelected, option: tutorialAnteCouncilWalkD",,,,,,,,Walk: tutorialAnteCouncilWalkE,"The 'young civilian girl' is ushered away from you by her supervisor, who thanks you for your service. "
tutorialAnteCouncilWalkE,"concept: optionSelected, option: tutorialAnteCouncilWalkE",,,,,,,,Sit down: tutorialAnteChairWaitA,"Arriving at the Exploration Council - time summary from its appearance, going through the front door and signing in."
#ante exploration council wait ,,,,,,,,,,
tutorialAnteChairWaitA,"concept: optionSelected, option: tutorialAnteChairWaitA",,,,,,,,"Listen to the broadcast: tutorialAnteChairWaitB, Tune out: tutorialAnteChairWaitE","Description of your surroundings, the bureacracy, and more information about the Provisional Executive sub-bodies. Note that Rui also sits down nearby, and that a broadcast is playing on a wall mounted viewscreen."
tutorialAnteChairWaitB,"concept: optionSelected, option: tutorialAnteChairWaitB",,,,,,,,"Continue: tutorialAnteChairWaitC, Tune out: tutorialAnteChairWaitE",News report on the age polarisation in polls for the upcoming Karkesh Republic presidential election. >>> You sigh while wondering what you could possibly spend your commission on.
tutorialAnteChairWaitC,"concept: optionSelected, option: tutorialAnteChairWaitC",,,,,,,,"Continue: tutorialAnteChairWaitD, Tune out: tutorialAnteChairWaitE",News report on the age polarisation in polls for the upcoming Karkesh Republic presidential election.
tutorialAnteChairWaitD,"concept: optionSelected, option: tutorialAnteChairWaitD",,,,,,,,Tune out: tutorialAnteChairWaitE,News report on the age polarisation in polls for the upcoming Karkesh Republic presidential election.
tutorialAnteChairWaitE,"concept: optionSelected, option: tutorialAnteChairWaitE",,,,,,,,Enter: tutorialAnteBriefingA,Informed that the chair of the Resolution 289 Standing Committee is ready to see you by a lady from the Secretariat - she leads you and Rui to a giant door somewhere.
#ante mission briefing,,,,,,,,,,
tutorialAnteBriefingA,"concept: optionSelected, option: tutorialAnteBriefingA",,,,,,,,"""I think we've changed"": tutorialAnteBriefingYes, ""I don't think I'll be out of the job"": tutorialAnteBriefingNo","The Chair of Resolution 289 Standing Committee greets you and then asks you to sit down - Rui remains standing a few paces behind. Description of the Chairs build, note that a name badge identifies the him as 'Tristan'. He asks you if you think the late proliferation period has done anything meaningful to humanity."
tutorialAnteBriefingYes,"concept: optionSelected, option: tutorialAnteBriefingYes",,,,,,,,"""Why?"": tutorialAnteBriefingClarification, ""I understand"": tutorialAnteBriefingB",Tristan says that you are in the majority. He then mentions that he personally thinks that humanity has advanced as a species.
tutorialAnteBriefingNo,"concept: optionSelected, option: tutorialAnteBriefingNo",,,,,,,,"""Why?"": tutorialAnteBriefingClarification, ""I understand"": tutorialAnteBriefingB","Tristan says that you are in the minority, and brings up that you are technically already out of the job after being transferred from the Security Council to the Exploration Council - he says this as he reads your documents. He then mentions that he personally thinks that humanity has advanced as a species."
tutorialAnteBriefingClarification,"concept: optionSelected, option: tutorialAnteBriefingClarification",,,,,,,,Continue: tutorialAnteBriefingB,"Tristan rants about how the Late Proliferation Period has changed humanity in a way that sounds recited. >>> “Why? Why, because humanity has been humbled by it’s isolation. For thousands of years, humans have read the autobiographies of distant stars during the Passing, and have tried to imagine life in those other pockets of civilisation. Isolation has surrounded our distant relatives with importance and a fleeting want for connection. And for as long as humans are human, children will now be taught the tragedy of the Late Proliferation and how lucky we are to be interconnected so readily. We have matured, and this maturity will carry us into a new age of peace and prosperity.”"
tutorialAnteBriefingB,"concept: optionSelected, option: tutorialAnteBriefingB",,,,,,,,Continue: tutorialAnteBriefingC,Explanation of the mission.
tutorialAnteBriefingC,"concept: optionSelected, option: tutorialAnteBriefingC",,,,,,,,Continue: tutorialAnteBriefingD,Tristain gives you the Codex Ethica from the Contact Guidelines Committee and says that you now have an on-board committee to be accountable to.
tutorialAnteBriefingD,"concept: optionSelected, option: tutorialAnteBriefingD",,,,,,,,,"You thank Tristain and leave the Exploration Council. Explanation of thoughts while leaving the place, and that you now have free time to do other things before departing the planet."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
tutorialLRS,"concept: moduleTutorial, module: longRangeScopes",,objectiveActive: moduleTutorialLRS,,,,,,,
tutorialAV,"concept: moduleTutorial, module: audioVisualizer",,objectiveActive: moduleTutorialAV,,,,,,,
tutorialNC,"concept: moduleTutorial, module: naniteController",,objectiveActive: moduleTutorialNC,,,,,,,
tutorialGLS,"concept: moduleTutorial, module: gasLayerSurveyor",,objectiveActive: moduleTutorialGLS,,,,,,,
