Rule,Criteria,Trigger Functions,Trigger Rules,Text,Options,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Apply Facts
PA_01ProbeGraveyardDispatchSuccess,"concept: PA_01ProbeGraveyardDispatchResponse, RAND_50%: true",addValueWithFlair: 2500,,"As expected, the probe dramatically changes course upon entering the mesosphere. The garbled transmissions it produces before going dark present compelling data on the giants topology.",Leave:defaultHardLeave,,,,,
PA_01ProbeGraveyardDispatchFailure,"concept: PA_01ProbeGraveyardDispatchResponse, RAND_50%: false",,,"As expected, the probe dramatically changes course upon entering the mesosphere. The garbled transmissions it produces before going dark present little to no new information, yet its course ultimately coincides with the presumed story of the other probes.",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_02PlanetRCS,"concept: PA_TerranPortalResponse, player_in_ABYSS_region: true, PA_02PlanetRCSPREV: false",openDialog: null,defaultApproachMessage,"It quickly becomes evident that the planet is covered in hundreds of evenly-spaced abnormalities. Preliminary LIDAR scans indicate that the anomalies are structures, approximately one hundred meters in length, width and height. ",Order a closer analysis: PA_02PlanetRCSContinue,,,,,PA_02PlanetRCSPREV: true
PA_02PlanetRCSContinue,"concept: optionSelected, option: PA_02PlanetRCSContinue",,,"Higher quality scans depict the structures as loosely engine shaped, with the nozzle of each supposed-engine facing away from the planets core. You are informed by a junior analyst that the design of the 'engines' does not appear in any on-board records. Further analysis will require a team on-ground.","Order an expedition: PA_02PlanetRCSDefaultExpedition, Leave:defaultSoftLeave",populatePA_02PlanetRCSOptions,,,,
PA_02PlanetRCSJiyaOption,"concept: populatePA_02PlanetRCSOptions, player_CHIEF_ENGINEER_alive: true",,,,Order Chief Engineer Jiya to lead an expedition: PA_02PlanetRCSJiyaExpeditionA,,,,,
PA_02PlanetRCSDefaultExpedition,"concept: optionSelected, option: PA_02PlanetRCSDefaultExpedition",addValueWithFlair: 2500,,"A transport lands near one of the behemoth thrusters. An hour of documentation, which you oversee from the operations deck, confirms what was already suspected: it is indeed an engine. How the engine is fueled and powered, if applicable, would be impossible to ascertain without months of arduous excavation. It is not clear how the engine is activated. The absurdity of the discovery merely reflects the absurdity of abyss space.",Recall the expedition and leave:defaultHardLeave,,,,,
PA_02PlanetRCSJiyaExpeditionA,"concept: optionSelected, option: PA_02PlanetRCSJiyaExpeditionA",,,"A transport lands near one of the behemoth thrusters. Documenting the 'engine' takes about an hour. You listen to the comms chatter from the operations deck, picking up several interesting facts - primarily, the 'engine' is indeed congruent in its construction with a normal starship thruster, and that it appears to have fuel and power lines which tunnel deep into the ground.",Ask Chief Engineer Jiya for her thoughts: PA_02PlanetRCSJiyaExpeditionB,,,,,
PA_02PlanetRCSJiyaExpeditionB,"concept: optionSelected, option: PA_02PlanetRCSJiyaExpeditionB",,,"""It's weird, $player_prefix."" Jiya speaks through garbled static. ""It's a planetary reaction control system, despite there being little benefit to moving a planet - 'least not in this way."" she says, elated. ""The thrusters are human make - twenty years old if I could eyeball it - but the thrust that they would produce could not beg to move billions of tonnes of rock. Either the newest universal constant defying engine which can move a planet looks exactly like an antique, or this is a very disfunctional planetary RCS system.""",Ask Chief Engineer Jiya for her opinion on what to do next: PA_02PlanetRCSJiyaExpeditionC,,,,,
PA_02PlanetRCSJiyaExpeditionC,"concept: optionSelected, option: PA_02PlanetRCSJiyaExpeditionC",,,"""Take notes, pack up and leave. Messing with this kind of thing usually leads to disaster - makes no sense and explodes when you act like it follows your rules."" Jiya advises.","Order Jiya to lead a salvage expedition - we need supplies:PA_02PlanetRCSJiyaSalvageDispatch, Heed her advice - recall the expedition and leave: defaultHardLeave",,,,,
PA_02PlanetRCSJiyaSalvageDispatch,"concept: optionSelected, option: PA_02PlanetRCSJiyaSalvageDispatch",,,,,,PA_02PlanetRCSJiyaSalvageResponse,,,
PA_02PlanetRCSJiyaSalvageDispatchSuccess,"concept: PA_02PlanetRCSJiyaSalvageResponse, RAND_50%: true",removeHullStressWithFlair: 35,,Jiya acknowledges with a sigh. Salvage teams are launched and several comms specialists are awoken to direct the frequent transport departures and arrivals. You oversee the several hour ordeal from near the communications console. Fuel lines are tapped and rare metals are extracted successfully from several of the behemoths. ,Leave:defaultHardLeave,,,,,
PA_02PlanetRCSJiyaSalvageDispatchFailure,"concept: PA_02PlanetRCSJiyaSalvageResponse, RAND_50%: false","removeHullStressWithFlair: 10, killCharacterWithFlair: CHIEF_ENGINEER",,"Jiya acknowledges with a sigh. In a four hour ordeal, salvage teams successfuly pick apart two of the behemoths - the third leads to disaster. Despite excessive safety procedures by Chief Engineer Jiya, an explosion propagated from the target - transpiring just after a tap was installed on the targets fuel line. Half of the salvage team, including Chief Engineer Jiya, are killed. Several salvage specialsits are injuired. A transport is lost. You order a recall. ",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
PA_03TheResearcher,"concept: PA_TerranPortalResponse, player_in_CORE_region: true, planet_type: Iron, PA_03TheResearcherPREV: false",openDialog: null,defaultApproachMessage,"AIS automatically interrogates and identifies a ship upon the surface of the planet. The vessel is an exploration pinnace, and according to on-board databanks, has been marked as missing for thirty years. Your communications officer sends an oral landing request. The ship, surprisingly, transmits a green flag in response.",Lead an away team:PA_03TheResearcherContinueA,,,,,PA_03TheResearcherPREV: true
PA_03TheResearcherContinueA,"concept: optionSelected, option: PA_03TheResearcherContinueA",,,"A contingent of officers, a unit of marines and yourself take a transport to the vessel. From the landing zone, it appears to be converted into a home of sorts, with scattered solar panels and hydroponics setups nearby. Two stakes draped in tarp, an attempt at a veranda, shadows it. A voice is heard from inside initially, but soon an old man clad in an ancient space suit is shouting from under the veranda. “Visitors - I can’t believe it!” he yells, giddy with excitement. “Please, come inside.”",Follow him: PA_03TheResearcherContinueB,,,,,
PA_03TheResearcherContinueB,"concept: optionSelected, option: PA_03TheResearcherContinueB",,,"The space inside the vessel is cluttered and grotty - clothes, nondescript containers and electrical hazards plague every surface besides a shoddy dining table, which he ushers you and your senior officers towards. He serves home grown vegetables with survival rations, tipping several piles of filth in the process. All of your senior staff appear uncomfortable. When he’s finally seated, you only have one question to ask.",Ask why he's here: PA_03TheResearcherContinueC,,,,,
PA_03TheResearcherContinueC,"concept: optionSelected, option: PA_03TheResearcherContinueC",,,"Momentarily, he appears flabbergasted. “Why, I’m documenting the life!” he proclaims. “There are small bastions of simple life in a cave around here.” You recall that preliminary scans of the planet suggested that life would be impossible. He goes on to enchantedly describe its composition and characteristics, giving the impression of a simple, bacteria-analogue life-form.",Ask to see the cave: PA_03TheResearcherContinueD,,,,,
PA_03TheResearcherContinueD,"concept: optionSelected, option: PA_03TheResearcherContinueD",,,"The old man is ecstatic - almost too ecstatic - in response to your request. He topples several additional piles of grime while clearing his dining table, then leads your people half a kilometer on foot to an unassuming hole in the ground. By the time you arrive, his voice has changed tone dramatically. A shell of the enlivened man from earlier, he complains about his ankle, wishes you good luck, and strolls back towards his home. The seismic tests you promptly order show that the cave is stable.",,populatePA_03TheResearcherOptions,,,,
PA_03TheResearcherFebrisOption,"concept: populatePA_03TheResearcherOptions, player_MEDICAL_OFFICER_alive: true",,,,Order Medical Officer Febris to explore the cave: PA_03TheResearcherFebrisCave,,,,,
PA_03TheResearcherJuniorOfficerOption,concept: populatePA_03TheResearcherOptions,,,,Order a junior officer to explore the cave: PA_03TheResearcherJuniorOfficerCave,,,,,
PA_03TheResearcherFebrisCave,"concept: optionSelected, option: PA_03TheResearcherFebrisCave",,,,,,,PA_03TheResearcherFebrisCaveDispatchResponse,,
PA_03TheResearcherFebrisCaveDispatchSuccess,concept: PA_03TheResearcherFebrisCaveDispatchResponse,addValueWithFlair: 25000,,"You watch Febris' progress on your heads-up-display. She travels through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. Febris moves to take a sample. ",Order a recall:PA_03TheResearcherReturnSuccess,,,,,
PA_03TheResearcherFebrisCaveDispatchFailure,concept: PA_03TheResearcherFebrisCaveDispatchResponse,"addValueWithFlair: 5000, killCharacterWithFlair: MEDICAL_OFFICER",,"You watch Febris' progress on your heads-up-display. She travels through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. Febris moves to take a sample, but a distant resonance and then a low rumble starts as she approaches. You watch in horror as she begins sprinting for the passageway towards the surface. Dust falls around her. Her signal is severed.",Order a recall:PA_03TheResearcherReturnFailure,,,,,
PA_03TheResearcherJuniorOfficerCave,"concept: optionSelected, option: PA_03TheResearcherJuniorOfficerCave",,,,,,,PA_03TheResearcherJuniorOfficerCaveDispatchResponse,,
PA_03TheResearcherJuniorOfficerCaveDispatchSuccess,concept: PA_03TheResearcherJuniorOfficerCaveDispatchResponse,addValueWithFlair: 5000,,"You watch the Junior Officers progress on your heads-up-display. They travel through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. They move to take a sample.",Order a recall:PA_03TheResearcherReturnSuccess,,,,,
PA_03TheResearcherJuniorOfficerCaveDispatchFailure,concept: PA_03TheResearcherJuniorOfficerCaveDispatchResponse,"addValueWithFlair: 2500, removeMoraleWithFlair: 10",,"You watch the Junior Officers progress on your heads-up-display. They travel through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. They move to take a sample, but a distant resonance and then a low rumble starts on approach. You watch in horror as your Junior Officer begins sprinting for the passageway towards the surface. Dust falls around them. Their signal is severed.",Order a recall:PA_03TheResearcherReturnFailure,,,,,
PA_03TheResearcherReturnSuccess,"concept: optionSelected, option: PA_03TheResearcherReturnSuccess",,,"The sample is secured, and your people return to the vessel. You find the old man sitting under the veranda. You talk legal, asking whether an examination of the sample you aquired may be published. It quickly becomes obvious that the man wants nothing more than to share his planet with others; you promise that he will have visitors from research craft in the near future.",Return to the transport: PA_03TheResearcherLeave,,,,,
PA_03TheResearcherReturnFailure,"concept: optionSelected, option: PA_03TheResearcherReturnFailure",,,"With measured calmness, you ask the marine in charge of the seismic scan to double-check the legitimacy of its results. As soon as human error is ruled out, you trek back to the vessel to confront the old man. You find him sitting under the veranda. You explain the situation, ending with a comment about the unusual resonance prior to the cave-in. He is, or acts, unaffiliated with the event.","Have the old man eliminated - he is obviously responsible: PA_03TheResearcherEliminate, Return to the transport: PA_03TheResearcherLeave",,,,,
PA_03TheResearcherEliminate,"concept: optionSelected, option: PA_03TheResearcherEliminate","addValueWithFlair: 2500, removeMoraleWithFlair: 10, increaseSecurityOfficerStanding: 25, playSoundEffect: gunshot.wav",,You discretely signal for your marine escort to kill him. They nod nonchalantly and drag the man away while he flails hopelessly.,Return to the transport: PA_03TheResearcherLeave,,,,,
PA_03TheResearcherLeave,"concept: optionSelected, option: PA_03TheResearcherLeave",,,"You return to the landing zone. Following fifteen minutes of delays and comm chatter, the transport takes off on an interception course with your starship.",Leave: defaultHardLeave,,,,,
,,,,,,,,,,
PA_04HollowGiant,"concept: PA_JovianPortalResponse, player_in_ABYSS_region: true, PA_04HollowGiantPREV: false",openDialog: null,defaultApproachMessage,(UNFINISHED EVENT) intro message,Dispatch a probe: PA_04HollowGiantContinueA,,,,,PA_04HollowGiantPREV: true
PA_04HollowGiantContinueA,"concept: optionSelected, option: PA_04HollowGiantContinueA",setImage: PA_04_missing_core.png,,(UNFINISHED EVENT) probe dispatch message and discovery,,,,,"PA_04HollowGiantContinueATryRuiFlair, PA_04HollowGiantContinueAFlairOption",
PA_04HollowGiantContinueARuiFlair,"concept: PA_04HollowGiantContinueATryRuiFlair, player_FIRST_OFFICER_alive: true",,,(UNFINISHED EVENT) first officer rui theorises what the forcefield is for,,,,,,
PA_04HollowGiantContinueAFlairOptionDefault,concept: PA_04HollowGiantContinueAFlairOption,addValueWithFlair: 2500,,(UNFINISHED EVENT) there is no sufficiently skilled person aboard to lead a mission down to the core,Leave:defaultHardLeave,,,,,
PA_04HollowGiantContinueAFlairOptionJiya,"concept: PA_04HollowGiantContinueAFlairOption, player_CHIEF_ENGINEER_alive: true",,,(UNFINISHED EVENT) chief engineer jiya can lead an expedition down to the core,"Order Chief Engineer Jiya to lead an expedition: PA_04HollowGiantJiyaExpeditionA, Leave: defaultHardLeave",,,,,
PA_04HollowGiantJiyaExpeditionA,"concept: optionSelected, option: PA_04HollowGiantJiyaExpeditionA",,,(UNFINISHED EVENT) expedition gets through clouds into forcefield,Order a closer analysis of the light: PA_04HollowGiantJiyaExpeditionB,,,,,
PA_04HollowGiantJiyaExpeditionB,"concept: optionSelected, option: PA_04HollowGiantJiyaExpeditionB",,,,,,,PA_04HollowGiantJiyaExpeditionBDispatchResponse,,
PA_04HollowGiantJiyaExpeditionBDispatchSuccess,concept: PA_04HollowGiantJiyaExpeditionBDispatchResponse,addValueWithFlair: 25000,,(UNFINISHED EVENT) find great data of the forcefield projector thingamabob,Order a recall: PA_04HollowGiantLeave,,,,,
PA_04HollowGiantJiyaExpeditionBDispatchFailure,concept: PA_04HollowGiantJiyaExpeditionBDispatchResponse,"addValueWithFlair: 5000, killCharacterWithFlair: CHIEF_ENGINEER",,(UNFINISHED EVENT) accidently touch it and BOOM entire planet collapse,Regroup: PA_04HollowGiantLeave,,,,,
PA_04HollowGiantLeave,"concept: optionSelected, option: PA_04HollowGiantLeave",,,(UNFINISHED EVENT) leaving message,Leave: defaultHardLeave,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#space anomalies,,,,,,,,,,
SAApproachMessage,concept: SAApproachMessage,,,Your ship approaches the location of a stable point in space.,,,,,,
SA_Portal,"concept: followingBody, type: SPACE_ANOMALY, space_anomaly_available: true",,,,,,,SA_PortalResponse,,
,,,,,,,,,,
SASeederShipFamily,"concept: SA_PortalResponse, player_in_CORE_or_FRONTIER_region: true","openDialog: null, setImage: SA03G_seeder_ship_OFF.png, playMusic: seeder_ship.wav","SAApproachMessage, SASeederShipMessage",,Leave:defaultSoftLeave,,,SASeederShipDispatch,,
SASeederShipMessage,concept: SASeederShipMessage,,,"The metal corpse of a dead giant - a lost seeder ship - is soon detected. These ships carried people and information between star systems during the Late Proliferation Period, acting as a temporary expedient for humanities desire to connect. Using conventional travel, such inter-system trips often took hundreds of years to complete.",,,,,,
SASeederShipMalfunctionMessage,concept: SASeederShipAuxiliaryMessage,,,"This particular seeder ship appears to have malfunctioned. There are rundown oxygen recyclers, chipped engines, core breaches, dead interfaces and power outages. Whichever of these issues caused the initial failure cascade, the outcome remains constant: esteemed passengers are rotted in their cryopods, while the Commons are littered with the last bodies that could not be spaced following rapid population decline. The preserved corpse of the giant echoes this apocalypse. ",,,,,,
SASeederShipAbandonedMessage,concept: SASeederShipAuxiliaryMessage,,,"This particular seeder ship appears abandoned. Following Arata's theorem, most seeder ships' were deemed 'redundant' and shared a similar fate. There are missing engines, empty stores and vacant databanks. Unsurprisingly, only a fraction of high-value items were removed throughout the ditching, likely due to an unfavourable cost of transport and the sheer size of the extraction target. The remains of the giant yet glimmer in the darkness.",,,,,,
SASeederShipDestructionMessage,concept: SASeederShipAuxiliaryMessage,,,"This particular seeder ship appears destroyed. At some point during its journey, or long afterwards, the hull was lacerated due to a malfunction in the on-board asteroid deflector. There are huge gashes in certain areas of the structure, with much of the material stagnant decks below where it had entered. Esteemed passengers are rotted in their cryopods, while everyone in the Commons likely died quickly from asphyxiation. The battered carcass of the giant stands testament to this accelerated tragedy. ",,,,,,
,,,,,,,,,,
SAResearchOutpostFamily,"concept: SA_PortalResponse, player_in_CORE_or_FRONTIER_region: true",openDialog: null,SAApproachMessage,An abandoned research outpost is detected.,Leave:defaultSoftLeave,,,SAResearchOutpostDispatch,,
,,,,,,,,,,
SA_StationGenericOpenDialog,"concept: SA_PortalResponse, player_in_CORE_or_FRONTIER_region: true",openDialog: null,SAApproachMessage,"An outpost, missing from native starcharts, is detected. You recall that profits at such bases are usually lower than official counterparts. Communications are quickly established.","Request docking access: SA_StationGenericDockingAccess, Leave:defaultSoftLeave",,,,,
SA_StationGenericDockingAccess,"concept: optionSelected, option: SA_StationGenericDockingAccess",closeDialog: HARD_LEAVE_STATION_OVERRIDE,,,,,,,,
,,,,,,,,,,
SA_RepairGenericOpenDialog,"concept: SA_PortalResponse, player_in_ANY_region: true",openDialog: null,SAApproachMessage,"Sensors detect an abandoned nanite cache, with an integrated nanite controller, in the vicinity.","Program the nanites for repair: SA_RepairGenericDispatch, Leave: defaultSoftLeave",,,,,
SA_RepairGenericDispatch,"concept: optionSelected, option: SA_RepairGenericDispatch",,,,,,,SA_RepairGenericDispatchResponse,,
SA_RepairGenericDispatchSuccess,concept: SA_RepairGenericDispatchResponse,removeHullStressWithFlair: 15,,The cache's nanites successfully repair your starship.,Leave:defaultHardLeave,,,,,
SA_RepairGenericDispatchFailureA,concept: SA_RepairGenericDispatchResponse,,,The cache's nanites malfunction and shutdown before repairs can be made.,Leave:defaultHardLeave,,,,,
SA_RepairGenericDispatchFailureB,concept: SA_RepairGenericDispatchResponse,"decreaseBalanceWithFlair: 2500, removeHullStressWithFlair: 5",,"The cache’s nanites malfunction and shutdown early into the repair process, causing a ‘recall’ order to be transmitted automatically in an attempt to restore the situation. The directive overrides multiple nanite regiments aboard your starship, causing those affected to quickly depart and transfer to the cache before a ‘stop’ order disseminates. Luckily, the controller does not malfunction utilising the stolen batch. ",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA_01GenericOpenDialog,"concept: SA_PortalResponse, player_in_ANY_region: true",openDialog: null,SAApproachMessage,Analysts mark an inconsistent LIDAR return.,"Investigate: SA_01GenericContinue, Leave:defaultSoftLeave",,,,,
SA_01GenericContinue,"concept: optionSelected, option: SA_01GenericContinue",,,"Upon further analysis and several additional pings, it becomes clear that the inconsistent return was merely a false echo.",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA_02GenericResponse,concept: SAResearchOutpostDispatch,,,,Scout for salvage:SA_02GenericDispatch,,,,,
SA_02GenericDispatch,"concept: optionSelected, option: SA_02GenericDispatch",,,,,,,SA_02GenericDispatchResponse,,
SA_02GenericDispatchSuccess,concept: SA_02GenericDispatchResponse,discoverRandomBodyWithFlair: $seed,,Salvage teams find databanks containing useful scan data of nearby phenomena.,Leave:defaultHardLeave,,,,,
SA_02GenericDispatchFailure,concept: SA_02GenericDispatchResponse,,,Salvage teams find nothing of value.,Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA03GSeederShipResponse,concept: SASeederShipDispatch,,,"While salvage may prove difficult due to the fragile interior, there is a variety of potential gains which could be made by ransacking the innards of the ship.",Strip it: SA03GSeederShipStrip,,,SASeederShipAuxiliaryMessage,,
SA03GSeederShipStrip,"concept: optionSelected, option: SA03GSeederShipStrip",,,,,,,SA03GSeederShipStripDispatch,,
SA03GSeederShipStripSuccess,concept: SA03GSeederShipStripDispatch,addRandomRewardWithFlair: MEDIUM,,"A number of useful articles are found throughout the leviathan ship's cargo bays, manufactories, laboratories and other areas. You have the articles stored or used. ",Leave:defaultHardLeave,,,,,
SA03GSeederShipStripFailure,concept: SA03GSeederShipStripDispatch,addHullStressWithFlair: 15,,"Early into the accompanying expedition, a chemical explosion rapidly expands from within the seeder's hull, cracking the outer coating, and launching shrapnel at and around your starship. Multiple personnel are lost in the explosion, and your ship sustains moderate damage. The cause of the detonation is hard to determine due to the brittle environment. You order a recall. ",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA04GSeederShipResponse,concept: SASeederShipDispatch,,,"While the rest of the ship is in complete disarray, the core and nanite controller appear repairable. Power would allow for a significant repair effort to be mounted for your own starship. ",Initiate core startup: SA04GSeederShipStartupA,,,SASeederShipAuxiliaryMessage,,
SA04GSeederShipStartupA,"concept: optionSelected, option: SA04GSeederShipStartupA","setImage: SA03G_seeder_ship_ON.png, playMusic: rising_pitch_oscillate.wav",,"Following numerous repairs, the core whirs to life. Engineers critically monitor the upbringing. You hold your breath. The core spins louder.",Brace: SA04GSeederShipStartupB,,,,,
SA04GSeederShipStartupB,"concept: optionSelected, option: SA04GSeederShipStartupB",,,,,,,SA04GSeederShipDispatch,,
SA04GSeederShipStartupSuccess,concept: SA04GSeederShipDispatch,"removeHullStressWithFlair: 25, playSoundEffect: SA04G_seeder_ship_success.wav",,"The core enters a state of equillibrium. Your starship is cautiously moved to the seeder's on-board nanite controller for repairs, which proceed smoothly. The core is safely deactivated once the nanite supply is exhausted.",Leave:defaultHardLeave,,,,,
SA04GSeederShipStartupFailure,concept: SA04GSeederShipDispatch,"decreaseBalanceWithFlair: 10000, setImage: default.png, playSoundEffect: SA04G_seeder_ship_failure.wav",,"The core undergoes a cascade breakdown. The explosion tears the seeder's outer coating, allowing chunks of mangled hull to be launched outwards. Thankfully, your starship is well positioned to avoid the ensuing shrapnel. Nanites placed at the seeder's on-board nanite controller in preparation for the repair effort are lost in the breakdown.",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA05GResearchOutpostResponse,concept: SAResearchOutpostDispatch,,,,Scout for salvage:SA05GResearchOutpostContinue,,,,,
SA05GResearchOutpostContinue,"concept: optionSelected, option: SA05GResearchOutpostContinue",,,"Salvage teams find a huge synthesis manufactory within, implied by expansive nanite ducts and supporting trite manufactories for prerequisites. Upon activation, it is discovered that the vast machine is running somewhat low on a specific tacsteel composite found only in your starship’s hull plating, and that it refuses to print anything until the ‘current problem’ is resolved. Should the device be supplied, it would likely accept one of your module blueprints, in spite of its ancient design.","Make the sacrifice: SA05GResearchOutpostGive, Carry on: SA_02GenericDispatch",,,,,
SA05GResearchOutpostGive,"concept: optionSelected, option: SA05GResearchOutpostGive",,,,,,,SA05GResearchOutpostDispatch,,
SA05GResearchOutpostGiveSuccess,concept: SA05GResearchOutpostDispatch,"addHullStressWithFlair: 15, unlockRandomUpgradeWithFlair: $seed",,"A section of plating is waxed for the composite, and the material is transferred to the manufactory input. With several groans and complaints, the machine successfully prints one of your blueprints - but only after rejecting several.",Leave:defaultHardLeave,,,,,
SA05GResearchOutpostGiveFailure,concept: SA05GResearchOutpostDispatch,addHullStressWithFlair: 5,,"A section of plating is waxed for the composite, and the material is transferred to the manufactory input. Uncaring and unfazed, the machine spits out another error about an ‘expired license’ and once again refuses to print anything until the ‘current problem’ is resolved. You curse the entrepreneurial sleeper who directed its construction.",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA06GCramCellsOpenDialog,"concept: SA_PortalResponse, player_in_CORE_or_FRONTIER_region: true",openDialog: null,SAApproachMessage,"Sensors detect an abandoned fuel depot in the vicinity, and closer inspection reveals that it is stocked with compressed fuel cells. Whilst more dangerous than conventional hydrogen cells, these ‘cram cells’ run at a far greater efficiency. Relatively inert, they only pose a danger to the engineering department, mostly in the form of accidental burns, and do not pose an overall threat to your starship. ","Don't swap the cells: SA06GCramCellsAbandon, Leave: defaultSoftLeave",,SA06GCramCellsDispatch,,,
SA06GCramCellsDefaultOption,concept: SA06GCramCellsDispatch,,,,Order the cells to be swapped: SA06GCramCellsUse,,,,,
SA06GCramCellsJiyaOption,"concept: SA06GCramCellsDispatch, player_CHIEF_ENGINEER_alive: true",,,,Order Jiya to swap the cells: SA06GCramCellsUse,,,,,
SA06GCramCellsUse,"concept: optionSelected, option: SA06GCramCellsUse","superchargeForJumpsWithFlair: 2, decreaseCharacterStandingBy25: CHIEF_ENGINEER",,"To the chagrin of your chief engineer, the fuel cells are swapped. Engine efficiency doubles, while main engineering is left to deal with the bad temperament of the compressed cells. No extra salvage is found aboard the depot. ",Leave:defaultHardLeave,,,,,
SA06GCramCellsAbandon,"concept: optionSelected, option: SA06GCramCellsAbandon",increaseCharacterStandingBy25: CHIEF_ENGINEER,,"Your chief engineer, and by extension, the entire engineering department, is relieved to not have to work with the compressed cells. No extra salvage is found aboard the depot. ",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA07GDebrisOpenDialog,"concept: SA_PortalResponse, player_in_CORE_or_FRONTIER_region: true","openDialog: null, playMusic: combat_low.wav",SAApproachMessage,"A collision warning leads to the discovery of a debris field encroaching on your starship. The discovery is met with a purely analytical response as there is more than enough time to dodge it. However, deviating from your scheduled route would mean throwing out the days navigation calculations - continuing in spite of the field would undeniably speed up your movement throughout the system, but would also be dangerous. The collision warning blares, and you order the master caution to be reset.",Avoid it: SA07GDebrisAvoid,SA07GDebrisDispatch,,,,
SA07GDebrisSkimOption,concept: SA07GDebrisDispatch,,,,Skim past it to collect data: SA07GDebrisSkim,,,,,
SA07GDebrisRuiOption,"concept: SA07GDebrisDispatch, player_FIRST_OFFICER_alive: true",,,,Order Rui to go through it: SA07GDebrisBear,,,,,
SA07GDebrisBear,"concept: optionSelected, option: SA07GDebrisBear",decreaseCharacterStandingBy25: FIRST_OFFICER,,,,,,SA07GDebrisBearDispatch,,
SA07GDebrisBearMessage,concept: SA07GDebrisBearMessage,,,"First Officer Rui acknowledges the order. Within five minutes, all crew are at their stations, repair teams are standing by to mitigate damages, and your ship is angled to minimise the surface area exposed to the onslaught. The debris field rolls in. Rui mutters something about ‘taking unreasonable risks’. ",,,,,,
SA07GDebrisBearSuccess,concept: SA07GDebrisBearDispatch,superchargeForJumpsWithFlair: 1,SA07GDebrisBearMessage,"After the transfer is concluded, it becomes apparent that, miraculously, no damage was sustained. The near minute ordeal involved several close calls and a few glancing hits, but nothing more serious than chipped hull plating.",Leave:defaultHardLeave,,,,,
SA07GDebrisBearFailure,concept: SA07GDebrisBearDispatch,"superchargeForJumpsWithFlair: 1, addHullStressWithFlair: 5",SA07GDebrisBearMessage,"After the transfer is concluded, it becomes apparent that, unsurprisingly, damage was sustained. The near minute ordeal involved several minor hull breaches, and tens of glancing hits, but nothing the engineering department is unaccustomed to.",Leave:defaultHardLeave,,,,,
SA07GDebrisSkim,"concept: optionSelected, option: SA07GDebrisSkim",increaseCharacterStandingBy25: FIRST_OFFICER,,,,,,SA07GDebrisSkimDispatch,,
SA07GDebrisSkimSuccess,concept: SA07GDebrisSkimDispatch,addValueWithFlair: 5000,,"After a brief bout of movement to avoid the bulk of the debris, a sensor package is set up to gather information about the field’s age and composition. The process goes smoothly, and the data is stored once the flyby is completed.",Leave:defaultHardLeave,,,,,
SA07GDebrisSkimFailure,concept: SA07GDebrisSkimDispatch,addHullStressWithFlair: 5,,"After a brief bout of movement to avoid the bulk of the debris, a sensor package is set up to gather information about the field’s age and composition. The process is immediately interrupted by shrapnel impacts, resulting in a disabled package and several minor hull breaches. Repair efforts proceed smoothly once the flyby is completed, but with no data to justify them.",Leave:defaultHardLeave,,,,,
SA07GDebrisAvoid,"concept: optionSelected, option: SA07GDebrisAvoid",,,"To the relief of everyone on board, the debris field is soon beyond the minimum clearance distance. Work starts quickly on the calculation of a new route. ",Leave:defaultHardLeave,,,,,
,,,,,,,,,,
SA08GMarauderBaseOpenDialog,"concept: SA_PortalResponse, player_in_FRONTIER_region: true","openDialog: null, playMusic: combat_high.wav",,"A marauder base is found to be in the vicinity after a transmission demanding surrender is logged and traced. These people, like many others, have turned towards violence to acquire modern technology, as opposed to waiting for the Executive to officially recognise them. There is significant pressure from your combat-starved marines to raid the base preemptively, but doing so would require strong leadership. The opportunity cost of any hostile action is usually damage. You begin ordering evasive manoeuvres in advance.",Leave: defaultSoftLeave,SA08GMarauderBaseDispatch,,,,
